time,I,R
2020/2/16,3,0
2020/2/17,6,0
2020/2/18,9,0
2020/2/19,12,0
2020/2/20,15,0
2020/2/21,18,0
2020/2/22,20,0
2020/2/23,79,1
2020/2/24,152,1
2020/2/25,230,2
2020/2/26,323,1
2020/2/27,400,3
2020/2/28,653,45
2020/2/29,888,46
2020/3/1,1128,50
2020/3/2,1694,83
2020/3/3,2036,149
2020/3/4,2502,160
2020/3/5,3089,276
2020/3/6,3858,276
2020/3/7,4636,523
2020/3/8,5883,589
2020/3/9,7375,622
2020/3/10,9172,724
2020/3/11,10283,1004
2020/3/12,12462,1045
2020/3/13,15113,1258
2020/3/14,17660,1439
2020/3/15,21157,1439
2020/3/16,24747,2335
2020/3/17,27980,2749
2020/3/18,31506,2941
2020/3/19,35713,4025
2020/3/20,41035,4440
2020/3/21,47021,5129
2020/3/22,53578,6072
2020/3/23,59514,7024
2020/3/24,64378,7432
2020/3/25,69176,8326
2020/3/26,74386,9362
2020/3/27,80539,10361
2020/3/28,86498,10950
2020/3/29,93051,12384
2020/3/30,97689,13030
2020/3/31,102106,14620
2020/4/1,105792,15729
2020/4/2,110574,16847
2020/4/3,115716,18278
2020/4/4,120281,19758
2020/4/5,125016,20996
2020/4/6,129317,21815
2020/4/7,132547,22837
2020/4/8,135893,24392
2020/4/9,139422,26491
2020/4/10,143626,28470
2020/4/11,147577,30455
2020/4/12,152271,32534
2020/4/13,156673,34211
2020/4/14,159516,35435
2020/4/15,162488,37130
2020/4/16,165155,38092
2020/4/17,168941,40164
2020/4/18,172434,42727
2020/4/19,175925,44927
2020/4/20,178972,47055
