date,total,Number of deaths
3月17日,167,4
3月18日,219,4
3月19日,264,9
3月20日,306,10
3月21日,350,10
3月22日,386,11
3月23日,386,11
3月24日,456,17
3月25日,487,17
3月26日,1323,49
3月27日,1408,53
3月28日,1485,53
3月29日,1550,54
3月30日,0,0
3月31日,1622,58
4月1日,1804,62
4月2日,2223,78
4月3日,2270,79
4月4日,2353,84
4月5日,2416,89
4月6日,0,0
4月7日,2601,98
4月8日,2671,103
4月9日,2722,106
4月10日,2781,111
4月11日,2890,116
4月12日,2960,119
4月13日,0,0
4月14日,3169,144
4月15日,3235,154
4月16日,3293,159
4月17日,3389,165
4月18日,3547,182
4月19日,3547,182
4月20日,0,0
4月21日,3861,217
4月22日,3947,229
4月23日,4288,251
4月24日,4439,263
4月25日,4649,274
4月26日,4836,293
4月27日,0,0
4月28日,5050,321
4月29日,5462,353
4月30日,5663,372
5月1日,5865,391
5月2日,6054,417
5月3日,6234,435
5月4日,0,0
5月5日,6583,461
5月6日,6727,478
5月7日,6903,495
5月8日,7053,506
5月9日,7183,514
5月10日,7296,526
5月11日,0,0
5月12日,7447,552
5月13日,7548,573
5月14日,7628,587
5月15日,7699,598
5月16日,7739,611
5月17日,7761,623
5月18日,0,0
5月19日,7864,643
5月20日,7919,662
5月21日,7956,666
5月22日,8046,682
5月23日,8141,696
5月24日,8117,689
5月25日,0,0
5月26日,8202,725
5月27日,8221,735
5月28日,8240,745
5月29日,8295,750
5月30日,8317,754
5月31日,8360,764
6月1日,0,0
6月2日,8384,770
6月3日,8398,772
6月4日,8402,772
6月5日,8403,775
6月6日,8404,779
6月7日,0,0
6月8日,0,0
6月9日,8421,784
6月10日,8430,789
6月11日,8435,789
6月12日,8445,790
6月13日,8454,792
6月14日,0,0
6月15日,0,0
6月16日,8460,799
6月17日,8464,799
6月18日,8465,801
6月19日,8462,804
6月20日,8461,804
6月21日,0,0
6月22日,0,0
6月23日,8459,805
6月24日,8458,807
6月25日,8460,808
6月26日,8456,809
6月27日,8450,810
6月28日,0,0
6月29日,0,0
6月30日,8447,811
7月1日,8445,812
7月2日,8442,812
7月3日,8439,812
7月4日,8439,812
7月5日,0,0
7月6日,0,0
7月7日,8439,812
7月8日,8436,812
7月9日,8436,812
7月10日,8437,812
7月11日,8437,813
