time,I,R
2020/1/24,15,0
2020/1/25,15,2
2020/1/26,26,2
2020/1/27,31,2
2020/1/28,36,3
2020/1/29,63,4
2020/1/30,86,4
2020/1/31,110,4
2020/2/1,170,4
2020/2/2,196,5
2020/2/3,226,5
2020/2/4,269,10
2020/2/5,289,13
2020/2/6,314,16
2020/2/7,334,22
2020/2/8,351,31
2020/2/9,364,39
2020/2/10,368,39
2020/2/11,375,56
2020/2/12,386,66
2020/2/13,391,82
2020/2/14,400,94
2020/2/15,406,104
2020/2/16,414,115
2020/2/17,415,131
2020/2/18,416,152
2020/2/19,416,163
2020/2/20,416,182
2020/2/21,416,199
2020/2/22,417,222
2020/2/23,417,226
2020/2/24,417,237
2020/2/25,417,249
2020/2/26,417,262
2020/2/27,417,271
2020/2/28,417,281
2020/2/29,417,299
2020/3/1,417,308
2020/3/2,418,320
2020/3/3,418,322
2020/3/4,418,332
2020/3/5,418,341
2020/3/6,418,358
2020/3/7,419,361
2020/3/8,419,368
2020/3/9,419,373
2020/3/10,419,373
2020/3/11,419,381
2020/3/12,420,381
2020/3/13,420,395
2020/3/14,420,395
2020/3/15,421,395
2020/3/16,423,399
2020/3/17,423,401
2020/3/18,425,402
2020/3/19,427,403
2020/3/20,432,403
2020/3/21,436,409
2020/3/22,439,409
2020/3/23,439,409
2020/3/24,440,413
2020/3/25,441,414
2020/3/26,443,414
2020/3/27,444,414
2020/3/28,446,414
2020/3/29,447,414
2020/3/30,449,414
2020/3/31,450,414
2020/4/1,451,416
2020/4/2,451,416
2020/4/3,452,416
2020/4/4,453,416
2020/4/5,454,416
2020/4/6,455,416
2020/4/7,455,416
2020/4/8,456,416
2020/4/9,456,416
