time,I,R
2020/2/24,2,2
2020/2/25,3,2
2020/2/26,7,2
2020/2/27,13,2
2020/2/28,25,2
2020/2/29,41,2
2020/3/1,58,2
2020/3/2,84,2
2020/3/3,123,2
2020/3/4,145,2
2020/3/5,165,2
2020/3/6,229,2
2020/3/7,387,2
2020/3/8,516,2
2020/3/9,907,2
2020/3/10,1227,2
2020/3/11,1648,2
2020/3/12,2128,183
2020/3/13,3004,189
2020/3/14,4004,189
2020/3/15,5232,189
2020/3/16,7753,571
2020/3/17,9191,571
2020/3/18,13716,1081
2020/3/19,15716,1081
2020/3/20,17147,1081
2020/3/21,19980,1588
2020/3/22,24926,2125
2020/3/23,28572,2575
2020/3/24,33089,3355
2020/3/25,42058,3794
2020/3/26,47610,5367
2020/3/27,56188,5367
2020/3/28,65719,9357
2020/3/29,78797,12285
2020/3/30,80110,14709
2020/3/31,85195,14709
2020/4/1,94417,14709
2020/4/2,102136,22647
2020/4/3,110238,26743
2020/4/4,117710,30513
2020/4/5,124736,34219
2020/4/6,130759,38080
2020/4/7,135032,38080
2020/4/8,140510,43208
2020/4/9,146690,48021
2020/4/10,152446,52165
2020/4/11,157022,55668
2020/4/12,161852,59109
2020/4/13,166019,62391
2020/4/14,169496,64727
2020/4/15,172541,67504
2020/4/16,177633,70853
2020/4/17,182816,74797
2020/4/18,191726,74797
2020/4/19,195944,77357
