time,I,R
2020/2/1,6,0
2020/2/2,8,0
2020/2/3,9,0
2020/2/4,10,0
2020/2/5,11,0
2020/2/6,12,0
2020/2/7,12,0
2020/2/8,12,0
2020/2/9,12,0
2020/2/10,12,0
2020/2/11,13,0
2020/2/12,13,0
2020/2/13,14,3
2020/2/14,15,3
2020/2/15,15,3
2020/2/16,17,3
2020/2/17,20,3
2020/2/18,23,3
2020/2/19,27,3
2020/2/20,30,3
2020/2/21,31,3
2020/2/22,34,3
2020/2/23,34,3
2020/2/24,35,3
2020/2/25,53,3
2020/2/26,57,3
2020/2/27,60,3
2020/2/28,60,3
2020/2/29,63,3
2020/3/1,63,3
2020/3/2,74,3
2020/3/3,96,3
2020/3/4,117,3
2020/3/5,126,3
2020/3/6,163,3
2020/3/7,232,3
2020/3/8,324,10
2020/3/9,572,10
2020/3/10,704,10
2020/3/11,849,10
2020/3/12,1004,10
2020/3/13,1459,10
2020/3/14,2084,10
2020/3/15,2726,10
2020/3/16,3700,10
2020/3/17,4629,48
2020/3/18,6420,74
2020/3/19,9077,74
2020/3/20,14250,121
2020/3/21,19624,147
2020/3/22,26997,176
2020/3/23,35360,178
2020/3/24,46371,178
2020/3/25,54893,333
2020/3/26,69194,619
2020/3/27,85840,713
2020/3/28,104839,894
2020/3/29,124686,2612
2020/3/30,143101,4865
2020/3/31,164603,5896
2020/4/1,189624,7136
2020/4/2,216722,8672
2020/4/3,245573,9228
2020/4/4,278458,9897
2020/4/5,312237,14997
2020/4/6,337638,17582
2020/4/7,368079,19828
2020/4/8,399929,22539
2020/4/9,432132,23906
2020/4/10,466299,26522
2020/4/11,501560,29132
2020/4/12,529951,32091
2020/4/13,550016,32314
2020/4/14,582607,44308
2020/4/15,609685,49966
2020/4/16,640014,52772
2020/4/17,671425,56236
2020/4/18,706779,59672
2020/4/19,735366,66854
