date,确诊人数,新增确诊人数,疑似人数,死亡人数,治愈人数,累计密切接触者
2020/1/10,41,0,0,1,2,739
2020/1/11,41,0,0,1,6,763
2020/1/12,41,0,0,1,7,763
2020/1/13,41,0,0,1,7,763
2020/1/14,41,0,0,1,7,763
2020/1/15,41,0,0,2,12,763
2020/1/16,45,4,0,2,15,763
2020/1/17,62,17,0,2,19,763
2020/1/18,121,59,0,3,24,763
2020/1/19,198,77,0,3,25,817
2020/1/20,291,93,27,3,25,1739
2020/1/21,440,149,37,9,25,2197
2020/1/22,571,131,393,17,25,5897
2020/1/23,830,259,1072,25,34,9507
2020/1/24,1287,457,1965,41,38,15197
2020/1/25,1975,688,2684,56,49,23431
2020/1/26,2744,769,5794,80,51,32799
2020/1/27,4515,1771,6973,106,60,47833
2020/1/28,5974,1459,9239,132,103,65537
2020/1/29,7711,1737,12167,170,124,88693
2020/1/30,9692,1981,15238,213,171,113579
2020/1/31,11791,2099,17988,259,243,136987
2020/2/1,14380,2589,19544,304,328,163844
2020/2/2,17205,2825,21558,361,475,189583
2020/2/3,20438,3233,23214,425,632,221015
2020/2/4,24324,3886,23260,490,892,252154
2020/2/5,28018,3694,24702,563,1153,282813
2020/2/6,31161,3143,26359,636,1540,314028
2020/2/7,34546,3385,27657,722,2050,345498
2020/2/8,37198,2652,28942,811,2649,371905
2020/2/9,40171,2973,23589,908,3281,399487
2020/2/10,42638,2467,21675,1016,3996,428438
2020/2/11,44653,2015,16067,1113,4740,451462
2020/2/12,59804,15152,13435,1310,5911,471531
2020/2/13,63851,4047,10109,1380,6723,493067
